COMPANYID,JOBTITLE,COMPANYNAME,RATING,JOBLOCATION,JOBSUMMARY,POSTDATE,EXTRACTIONDATE,POTENTIALCOMPENSATION
1,Microsoft Office 365 Systems Administrator (Fully-remote pos...,"Potomac Law Group, PLLC",,Boston,provide back-up support to help desk team. hands-on experience in troubleshooting microsoft office 365 and microsoft windows with the end users.,12,2022-05-04,Full-time +1
2,Sr Network Engineer - CCNP (R&S),Protocol Networks,,Marlborough,designing & implementing technology solutions for clients that will address their needs in network. onsite work implementing solutions will be required…,9,2022-05-04,"$80,000 - $120,000 a year"
3,"Agile IT Audit Co-op - Boston, MA (July - December 2022)",Liberty Mutual Insurance,3.6,Boston,"tasks will include active participation in agile ceremonies, interviewing personnel, performing business and information technology process analysis, analyzing…",30,2022-05-04,$20.50 - $23.50 an hour
4,IS Business Systems Analyst,Wolf & Company PC,3.6,Boston,provide references for users by writing and maintaining user documentation. provide application support and train users.,30,2022-05-04,Full-time
5,Network Administrator,Inserso Corporation,4.1,Boston,"the network administrator reports to a team lead and provides it field operations (itfo) support for 24x7 lans and associated applications, peripherals,…",1,2022-05-04,"$80,000 - $95,000 a year"
6,HRIS Analyst - Recruiting (REMOTE),Burlington Stores,3.3,Somerville,"serve as the icims subject matter expert (sme); communicate with users, key stakeholders and leadership regarding system issues, enhancements, upgrades/releases…",8,2022-05-04,Full-time
7,Application Support Specialist,Insight Global,,Cambridge,"3-5+ years' of it support experience. experience working with a ticketing system. experience supporting digital device product issues (bluetooth, connection…",7,2022-05-04,$30 - $40 an hour
8,"Senior Network Engineer (Base Salary, 20% Bonus & On-Call pa...","Connecticut Technology Resources & Services, LLC",,Melrose,"recommend network and platform technology enhancements to improve network performance, security and sustainability. (locations are within driving distance).*.",1,2022-05-04,"Up to $110,000 a year"
9,IT Auditor (Banking),Sheshunoff Consulting,,Boston,"the ideal candidate will have recent experience in at least two or more of the following areas: banking technology operations, electronic banking, information…",5,2022-05-04,"$100,000 - $120,000 a year"
10,Junior Cloud One O&S Customer Support,SAIC,4.0,Bedford,"clearance level must be able to obtain: secret. cloud one is the only dod program that incorporates the capabilities of aws, azure, google cloud, oracle cloud…",30,2022-05-04,"$75,001 - $100,000 a year"
11,Cyber Security Consultant (remote),K logix,,Brookline,4+ years of information security consulting across multiple companies and industries. detailed knowledge of information security frameworks nist csf and cis top…,5,2022-05-04,"$150,000 - $200,000 a year"
12,Cyber Threat Hunter Remote,Deloitte,4.0,Boston,1+ years working in security information and/or technology engineering support experience. provide security information and event management (siem) content…,30,2022-05-04,Full-time
13,"Threat Analyst I - Opportunity for Working Remotely Boston,...",VMware,4.1,Boston,"threat analysts have opportunities for mentorship from more senior members of the team, and involvement with maturing procedures, evaluating new security…",30,2022-05-04,"From $52,000 a year"
14,Customer Support Engineer (Remote),1upHealth,,Boston,the customer support engineer serves as a liaison between customers and 1uphealth partners to ensure overall success in their implementation and ongoing support…,20,2022-05-04,Full-time
15,Customer Technical Specialist I,Peraton,3.2,Boston,"the it service desk technician provides technical assistance to computer users, answers questions; resolves computer problems for clients in person, or via…",1,2022-05-04,"Up to $74,200 a year"
16,Technical Support Representative,CVS Health,3.2,Smithfield,"experience in a help desk/call center environment providing technical support in a retail environment. document problems, complete problem tickets, and request…",30,2022-05-04,Full-time
17,"Director, Information Technology Applications (Commercial)","Cerevel Therapeutics, LLC",,Boston,"10+ years of technology experience, preferably in life sciences within a regulated environment. 10+ years of technology experience, preferably in life sciences…",20,2022-05-04,
18,End User Support Technician,"Thielsch Engineering, Inc",3.3,Cranston,ability to exercise independent judgment and creative problem solving techniques in a highly complex environment using leading-edge technology and or…,1,2022-05-04,Full-time
19,Systems Administrator,Dana-Farber Cancer Institute,4.1,Boston,monitor network to ensure network availability to all system users and perform necessary maintenance to support network availability.,14,2022-05-04,Full-time
20,Network Control Engineer,Starry,3.5,Boston,"monitor and proactive troubleshooting of starry's 24/7 platform, network traffic and alerts. collaborate with internal and external cross-functional teams to…",30,2022-05-04,$32 - $35 an hour
21,SVP & Chief Information Officer - Fully Remote Option,Commonwealth Care Alliance,3.4,Boston,"manage it help-desk support to cca staff, manage continuous improvement processes using the help desk system. the svp & chief information officer is responsible…",21,2022-05-04,
22,Director of Enterprise Information Security,Teradyne,4.1,North,a bachelor's degree in information systems or equivalent work experience; an m.b.a. or m.s. in information security is preferred.,15,2022-05-04,
23,IT Data Security Specialist - Remote,UMASS Medical,,Worcester,experience in the successful development and implementation of enterprise-wide information security programs which reduce risk.,7,2022-05-04,"$80,000 - $100,000 a year"
24,"Threat Analyst II - Opportunity for Working Remotely Boston,...",VMware,4.1,Boston,"the analyst will have involvement with evaluating new security technologies, incident response, penetration testing and the freedom to try out new ideas and…",30,2022-05-04,"From $70,000 a year"
25,Director of IT Infrastructure & Operations - Remote,CONMED,3.0,Westborough,stay current with business direction and emerging technology trends. implement processes and select technologies and that will enable the team to scale while…,30,2022-05-04,"$125,000 - $235,000 a year"
26,"Director, Information Security, Technology, and Compliance",BriteCore,4.5,Boston,act as a primary control point during significant information security incidents. the primary function of this role will be to drive britecore’s security…,5,2022-05-04,Full-time
27,Frontline Support Engineer,WhiteSource,4.0,Boston,"in this role, you will be performing initial technical analysis and first response to incoming customer issues which involves technical troubleshooting, issue…",30,2022-05-04,
28,Cyber Operations Specialist - MS,PRICE WATERHOUSE COOPERS,4.0,Boston,"preparing materials (reports, presentations, spreadsheets, etc.) to help enable informed decision making; take action to stay up to date with the evolution and…",30,2022-05-04,
29,IT Compliance Analyst,RECUR,,Boston,"at least 1 year of experience in technology, payment processing services or working knowledge and interest of technology infrastructure principles and practices…",1,2022-05-04,
30,System Administrator,Intellia Therapeutics,3.0,Cambridge,"provide level 2 support for the desktop support team for issue escalation. in this role, you will work closely with all areas of the organization, as well…",26,2022-05-04,
31,System Administrator,Intellia Therapeutics,3.0,Cambridge,"provide level 2 support for the desktop support team for issue escalation. in this role, you will work closely with all areas of the organization, as well…",26,2022-05-04,
32,"Senior Director, Governance, Risk and Compliance",SmartBear,3.3,Somerville,identify information security issues/risks and design mitigation methods to appropriately handle them. ability to process and understand complex information…,12,2022-05-04,
33,"Senior HR Operations Analyst, Kronos",The Boston Beer Company,3.7,Boston,"this position will interface with multiple teams including business end users, internal/external application support administrators, application vendors,…",30,2022-05-04,Full-time
34,Senior Systems Administrator,Global Data Systems,,Pembroke,experience working for an it managed service provider (supporting clients) is a must. citrix xenapp/xendesktop/virtual apps and desktops.,2,2022-05-04,"$60,000 - $110,000 a year"
35,Epic Application Support Lead - 4256544,Accenture,4.0,Boston,accenture flex employees work in their local metro area onsite at the project significantly reducing and or eliminating the demands to travel.,30,2022-05-04,$79.33 - $100.71 an hour
36,Information Security Engineer,Media.Monks,,Boston,"work with other teams to help prepare and document standard operating procedures and protocols related to security. knowledge of cloud environments (gcp, aws).",15,2022-05-04,
37,Enterprise System Support Specialist,Alexander Technology Group,3.6,Boston,rate: hourly rate flexible based on experience. alexander technology group is searching for a enterprise system support specialist to work with our management…,7,2022-05-04,Contract
38,Support Desk Engineer - Level II,Proxios,2.3,Boston,"efficiently analyze, diagnose, troubleshoot, and resolve technical issues at desktop, server, and network level – or engage further resources if needed.",8,2022-05-04,
39,Helpdesk Tool Generalist (Remote),Raytheon Intelligence & Space,4.0,Marlborough,minimum of 1 year help desk experience. prior experience with help desk incident management software for dispositioning tickets.,30,2022-05-04,Temporary +1
40,Information Security Architect,Sparks Group,4.0,Boston,"plan, research, and design security architectures. develop, review, and approve the installation requirements for lanss, wans, vpns, routers, firewalls, and…",3,2022-05-04,
41,"Applications Analyst II, Ambulatory, Opportunity for Remote",Tufts Medicine,3.0,Burlington,respond to issues reported by users; research and resolve issues in a timely fashion. provide excellent customer service: communicate in a friendly and…,6,2022-05-04,Full-time
42,"Project Manager, Operations and Technology",Harvard University,4.3,Cambridge,"the role spans business analysis, vendor management, project management, and help desk support. skill in training and providing clear instruction and assistance…",30,2022-05-04,Full-time
43,Technical Support Manager,S&P Global,3.9,Boston,"grade ( relevant for internal applicants only ): 10. the impact: you will deliver a best-in-class technical service and support, with the goal of quickly and…",29,2022-05-04,"$61,500 - $127,700 a year"
44,Senior ERP Analyst – Information Technology – Remote,Atrius Health,3.7,Norwood,"evaluates patches and upgrades released by software vendors for assigned erp systems, collaborating with it teams, business analysts (if applicable) and users.",30,2022-05-04,Full-time
45,Software Support Analyst I,MatrixCare,3.4,Bedford,"acos, skilled nursing facilities, senior living organizations, life plan communities (ccrcs), and home care, home health and hospice organizations depend on…",30,2022-05-04,Full-time
46,Solutions Engineer,"Lakeside Software, Inc.",2.6,Boston,our technology provides insight into employee usage patterns to help our customers understand their total it environment.,8,2022-05-04,Full-time
47,Systems Administrator,"Boston Properties, Inc.",4.1,Boston,"responsible for on-boarding/off-boarding users across applications. conduct research on new technologies, products, or solutions.",30,2022-05-04,Full-time
48,Catastrophe Risk Associate (Remote),American Family Mutual Insurance Company,3.7,Boston,homesite’s catastrophe management team is searching for a catastrophe risk analyst who will apply their technical knowledge/skills to support the assessment of…,30,2022-05-04,Full-time
49,Cyber System Exploitation Specialist (Remote),MIT Lincoln Laboratory,4.2,Lexington,"desired technical skills (some use, including in classwork, of many of these technologies): the cyber system assessments group performs software and hardware…",1,2022-05-04,
50,"Converse, Global Digital Product Manager- Customer Service (...",Converse,4.0,Boston,we’re looking for a digital product manager that will help drive the converse digital product strategy and partner with a cross-functional team to deliver new…,18,2022-05-04,"$117,000 a year"
51,Supply Chain Compliance & IT Specialist,Dana-Farber Cancer Institute,4.1,Brookline,develop and implement internal policy and procedures for supply chain information systems. experience in the use of erp technology to examine and analyze data…,5,2022-05-04,Full-time
